Gene_id,CTRL1,CTRL2,CTRL3,EVE1,EVE2,EVE3,description
ERCC-00002,115794,76786,109752,222523,286415,231108,None
ERCC-00003,4561,3313,4367,9968,11316,9528,None
ERCC-00004,22185,16114,21995,6059,7015,5863,None
ERCC-00009,4628,3277,4541,4404,5669,4563,None
ERCC-00012,1,2,1,5,3,1,None
ERCC-00013,7,1,9,18,14,14,None
ERCC-00014,11,7,5,17,20,18,None
ERCC-00016,1,1,0,1,1,0,None
ERCC-00017,0,0,2,0,0,0,None
ERCC-00019,157,98,106,32,36,46,None
ERCC-00022,1166,799,1202,2418,3110,2455,None
ERCC-00024,3,2,0,2,4,0,None
ERCC-00025,457,291,439,444,507,411,None
ERCC-00028,37,22,26,7,14,7,None
ERCC-00031,13,12,10,13,18,12,None
ERCC-00033,7,4,6,2,1,1,None
ERCC-00034,89,62,113,120,133,114,None
ERCC-00035,565,343,588,548,718,581,None
ERCC-00039,25,15,22,39,44,32,None
ERCC-00040,10,5,5,13,10,9,None
ERCC-00041,1,1,0,3,4,4,None
ERCC-00042,1734,1184,1738,1815,2107,1854,None
ERCC-00043,3151,2354,2956,6461,7492,6574,None
ERCC-00044,584,399,534,866,1146,949,None
ERCC-00046,12915,9158,12517,27540,31973,27070,None
ERCC-00048,0,2,0,0,0,0,None
ERCC-00051,86,77,89,87,126,97,None
ERCC-00053,105,76,118,138,158,127,None
ERCC-00054,24,15,21,37,46,40,None
ERCC-00057,0,0,0,0,0,0,None
ERCC-00058,19,11,10,16,34,9,None
ERCC-00059,78,60,83,138,190,184,None
ERCC-00060,1386,948,1285,1552,1687,1412,None
ERCC-00061,0,0,0,1,4,1,None
ERCC-00062,240,171,225,65,81,50,None
ERCC-00067,16,20,12,9,14,19,None
ERCC-00069,10,7,13,21,30,27,None
ERCC-00071,382,261,405,588,739,628,None
ERCC-00073,5,5,4,7,7,4,None
ERCC-00074,54898,39193,54218,88915,101302,88437,None
ERCC-00075,0,0,0,0,0,0,None
ERCC-00076,1073,773,1094,1612,2005,1704,None
ERCC-00077,11,5,10,25,21,30,None
ERCC-00078,312,224,305,642,800,643,None
ERCC-00079,388,290,316,708,985,779,None
ERCC-00081,3,1,2,4,3,2,None
ERCC-00083,0,0,0,0,0,0,None
ERCC-00084,245,185,247,402,524,380,None
ERCC-00085,41,35,40,21,31,21,None
ERCC-00086,1,0,0,1,2,2,None
ERCC-00092,2459,1630,2209,618,793,610,None
ERCC-00095,478,339,441,118,149,126,None
ERCC-00096,120004,83440,118885,116582,148863,122277,None
ERCC-00097,4,0,4,0,1,0,None
ERCC-00098,0,1,2,1,4,0,None
ERCC-00099,100,64,101,162,223,160,None
ERCC-00104,0,0,0,0,1,0,None
ERCC-00108,5918,3891,5660,1420,1789,1419,None
ERCC-00109,3,1,1,6,1,4,None
ERCC-00111,3482,2311,3308,5104,6471,5386,None
ERCC-00112,821,604,805,1767,2244,1772,None
ERCC-00113,28468,19133,27460,40172,52928,43006,None
ERCC-00116,652,416,611,160,187,175,None
ERCC-00117,2,1,2,0,1,2,None
ERCC-00120,2,3,5,4,9,4,None
ERCC-00123,0,2,0,0,2,0,None
ERCC-00126,36,24,35,42,62,47,None
ERCC-00130,212459,148868,205314,50045,63144,52320,None
ERCC-00131,923,620,885,240,255,227,None
ERCC-00134,1,0,2,0,1,1,None
ERCC-00136,8027,5490,7363,2056,2466,2009,None
ERCC-00137,4,3,6,13,14,7,None
ERCC-00138,0,1,2,2,1,1,None
ERCC-00142,0,1,0,1,1,0,None
ERCC-00143,24,14,26,25,34,29,None
ERCC-00144,88,64,91,29,40,32,None
ERCC-00145,4040,2886,4017,6252,7852,6366,None
ERCC-00147,6,3,3,0,0,1,None
ERCC-00148,43,40,46,57,64,58,None
ERCC-00150,21,11,19,18,26,20,None
ERCC-00154,20,14,24,10,10,4,None
ERCC-00156,0,1,1,0,0,0,None
ERCC-00157,51,56,65,87,147,109,None
ERCC-00158,4,0,0,9,4,3,None
ERCC-00160,131,82,137,204,275,226,None
ERCC-00162,185,144,177,313,364,319,None
ERCC-00163,64,53,65,142,178,145,None
ERCC-00164,1,0,0,0,2,2,None
ERCC-00165,364,275,373,673,908,770,None
ERCC-00168,2,0,5,2,6,5,None
